depth_mm,age_calBP,d18OcarbVPDB
382.270,2523.86,-9.76
382.330,2524.11,-9.59
382.390,2524.36,-9.64
382.450,2524.61,-9.36
382.510,2524.86,-9.44
382.570,2525.11,-9.59
382.630,2525.36,-9.44
382.690,2525.61,-9.39
382.750,2525.86,-9.43
382.810,2526.11,-9.47
382.870,2526.36,-9.56
382.930,2526.61,-9.52
382.990,2526.86,-9.42
383.050,2527.11,-9.54
383.110,2527.36,-9.51
383.170,2527.61,-9.48
383.230,2527.86,-9.57
383.290,2528.11,-9.46
383.350,2528.36,-9.60
383.410,2528.61,-9.57
383.470,2528.86,-9.77
383.530,2529.11,-9.76
383.590,2529.36,-9.73
383.650,2529.61,-9.65
383.710,2529.86,-9.58
383.770,2530.11,-9.59
383.830,2530.36,-9.59
383.890,2530.61,-9.72
383.950,2530.86,-9.80
384.010,2531.11,-9.81
384.070,2531.36,-9.52
384.130,2531.61,-9.69
384.190,2531.86,-9.60
384.250,2532.11,-9.46
384.310,2532.36,-9.47
384.370,2532.61,-9.61
384.430,2532.86,-9.54
384.490,2533.11,-9.52
384.550,2533.36,-9.43
384.610,2533.61,-9.51
384.670,2533.86,-9.48
384.730,2534.11,-9.34
384.790,2534.36,-9.32
384.850,2534.61,-9.30
384.910,2534.86,-9.37
384.970,2535.11,-9.37
385.030,2535.36,-9.47
385.090,2535.61,-9.43
385.150,2535.86,-9.70
385.210,2536.11,-9.42
385.270,2536.36,-9.43
385.330,2536.61,-9.60
385.390,2536.86,-9.51
385.450,2537.11,-9.58
385.510,2537.36,-9.36
385.570,2537.61,-9.40
385.630,2537.86,-9.48
385.690,2538.11,-9.39
385.750,2538.36,-9.46
385.810,2538.61,-9.54
385.870,2538.86,-9.56
385.930,2539.11,-9.61
385.990,2539.36,-9.59
386.050,2539.61,-9.64
386.110,2539.86,-9.63
386.170,2540.11,-9.63
386.230,2540.36,-9.67
386.290,2540.61,-9.67
386.350,2540.86,-9.61
386.410,2541.11,-9.69
386.470,2541.36,-9.63
386.530,2541.61,-9.69
386.590,2541.86,-9.78
386.650,2542.11,-9.62
386.710,2542.36,-9.68
386.770,2542.61,-9.67
386.830,2542.86,-9.63
386.890,2543.11,-9.59
386.950,2543.36,-9.71
387.010,2543.61,-9.72
387.070,2543.86,-9.61
387.130,2544.11,-9.50
387.190,2544.36,-9.54
387.250,2544.61,-9.55
387.310,2544.86,-9.68
387.370,2545.11,-9.59
387.430,2545.36,-9.68
387.490,2545.61,-9.62
387.550,2545.86,-9.67
387.610,2546.11,-9.53
387.670,2546.36,-9.64
387.730,2546.61,-9.67
387.790,2546.86,-9.65
387.850,2547.11,-9.30
387.910,2547.36,-9.51
387.970,2547.61,-9.61
388.030,2547.86,-9.55
388.090,2548.11,-9.65
388.150,2548.36,-9.53
388.210,2548.61,-9.50
388.270,2548.86,-9.42
388.330,2549.11,-9.60
388.390,2549.36,-9.48
388.450,2549.61,-9.44
388.510,2549.86,-9.52
388.570,2550.11,-9.48
388.630,2550.36,-9.58
388.690,2550.61,-9.56
388.750,2550.86,-9.58
388.810,2551.11,-9.59
388.870,2551.36,-9.61
388.930,2551.61,-9.61
388.990,2551.86,-9.56
389.050,2552.11,-9.57
389.110,2552.36,-9.56
389.170,2552.61,-9.52
389.230,2552.86,-9.52
389.290,2553.11,-9.36
389.350,2553.36,-9.29
389.410,2553.61,-9.45
389.470,2553.86,-9.46
389.530,2554.11,-9.42
389.590,2554.36,-9.46
389.650,2554.61,-9.57
389.710,2554.86,-9.50
389.770,2555.11,-9.50
389.830,2555.36,-9.39
389.890,2555.61,-9.52
389.950,2555.86,-9.46
390.010,2556.11,-9.50
390.070,2556.36,-9.59
390.130,2556.61,-9.48
390.190,2556.86,-9.43
390.250,2557.11,-9.52
390.310,2557.36,-9.56
390.370,2557.61,-9.47
390.430,2557.86,-9.45
390.490,2558.11,-9.33
390.550,2558.36,-9.64
390.610,2558.61,-9.67
390.670,2558.86,-9.43
390.730,2559.11,-9.65
390.790,2559.36,-9.53
390.850,2559.61,-9.56
390.910,2559.86,-9.72
390.970,2560.11,-9.42
391.030,2560.36,-9.60
391.090,2560.61,-9.65
391.150,2560.86,-9.68
391.210,2561.11,-9.62
391.270,2561.36,-9.30
391.330,2561.61,-9.62
391.390,2561.86,-9.51
391.450,2562.11,-9.57
391.510,2562.36,-8.96
391.570,2562.61,-9.48
391.630,2562.86,-9.44
391.690,2563.11,-9.15
391.750,2563.36,-9.50
391.810,2563.61,-9.46
391.870,2563.86,-9.26
391.930,2564.11,-9.55
391.990,2564.36,-9.39
392.050,2564.61,-9.27
392.110,2564.86,-9.57
392.170,2565.11,-9.45
392.230,2565.36,-9.52
392.290,2565.61,-9.27
392.350,2565.86,-9.61
392.410,2566.11,-9.40
392.470,2566.36,-9.55
392.530,2566.61,-9.45
392.590,2566.86,-9.48
392.650,2567.11,-9.48
392.710,2567.36,-9.36
392.770,2567.61,-9.42
392.830,2567.86,-9.17
392.890,2568.11,-9.38
392.950,2568.36,-9.33
393.010,2568.61,-9.35
393.070,2568.86,-9.44
393.130,2569.11,-9.40
393.190,2569.36,-9.42
393.250,2569.61,-9.42
393.310,2569.86,-9.39
393.370,2570.11,-9.32
393.430,2570.36,-9.43
393.490,2570.61,-9.40
393.550,2570.86,-9.44
393.610,2571.11,-9.35
393.670,2571.36,-9.42
393.730,2571.61,-9.38
393.790,2571.86,-9.12
393.850,2572.11,-9.44
393.910,2572.36,-9.47
393.970,2572.61,-9.47
394.030,2572.86,-9.49
394.090,2573.11,-9.50
394.150,2573.36,-9.45
394.210,2573.61,-9.19
394.270,2573.86,-9.46
394.330,2574.11,-9.42
394.390,2574.36,-9.47
394.450,2574.61,-9.45
394.510,2574.86,-9.50
394.570,2575.11,-9.50
394.630,2575.36,-9.40
394.690,2575.61,-9.48
394.750,2575.86,-9.47
394.810,2576.11,-9.32
394.870,2576.36,-9.51
394.930,2576.61,-9.46
394.990,2576.86,-9.44
395.050,2577.11,-9.44
395.110,2577.36,-9.54
395.170,2577.61,-9.49
395.230,2577.86,-9.45
395.290,2578.11,-9.47
395.350,2578.36,-9.51
395.410,2578.61,-9.46
395.470,2578.86,-9.57
395.530,2579.11,-9.57
395.590,2579.36,-9.50
395.650,2579.61,-9.56
395.710,2579.86,-9.60
395.770,2580.11,-9.57
395.830,2580.36,-9.08
395.890,2580.61,-9.46
395.950,2580.86,-9.42
396.010,2581.11,-9.47
396.070,2581.36,-9.42
396.130,2581.61,-9.50
396.190,2581.86,-9.50
396.250,2582.11,-9.48
396.310,2582.36,-9.43
396.370,2582.61,-9.48
396.430,2582.86,-9.56
396.490,2583.11,-9.49
396.550,2583.36,-9.51
396.610,2583.61,-9.55
396.670,2583.86,-9.59
396.730,2584.11,-9.56
396.790,2584.36,-9.50
396.850,2584.61,-9.52
396.910,2584.86,-9.48
396.970,2585.11,-9.52
397.030,2585.36,-9.59
397.090,2585.61,-9.60
397.150,2585.86,-9.59
397.210,2586.11,-9.63
397.270,2586.36,-9.64
397.330,2586.61,-9.64
397.390,2586.86,-9.69
397.450,2587.11,-9.56
397.510,2587.36,-9.72
397.570,2587.61,-9.63
397.630,2587.86,-9.55
397.690,2588.11,-9.37
397.750,2588.36,-9.41
397.810,2588.61,-9.47
397.870,2588.86,-9.45
397.930,2589.11,-9.48
397.990,2589.36,-9.50
398.050,2589.61,-9.29
398.110,2589.86,-9.40
